a	a
attroupement         attroup
attrouper        attroup
au               au
aubaine          aubain
aubaines         aubain
aube             aub
auberge          auberg
auberges         auberg
aubergistes        auberg
aubigné          aubign
aubry            aubry
auburn           auburn
aucun            aucun
aucune           aucun
aucunement         aucun
audace           audac
audacieuse         audaci
audacieuses        audaci
audacieux        audaci
audience         audienc
audiences        audienc
audit            audit
auditeur         auditeur
auditeurs        auditeur
auditoire        auditoir
augmenta         augment
augmentaient         augment
augmentait         augment
augmentant         augment
augmentation         augment
augmente         augment
augmenté         augment
augmentée        augment
augmenter        augment
augmentera         augment
augmenterait         augment
augure           augur
augurer          augur
auguste          august
augustes         august
augustin         augustin
aujourd          aujourd
aumône           aumôn
aumônes          aumôn
aumônier         aumôni
aunes            aun
auparavant         auparav
auprès           aupres
auquel           auquel
aura             aur
aurai            aur
auraient         aur
aurais           aur
aurait           aur
auras            aur
aureng           aureng
aurez            aur
auriez           aur
aurions          aurion
aurons           auron
auront           auront
aurungabad         aurungabad
aussi            auss
aussitôt         aussitôt
austère          auster
austères         auster
austérité        auster
austral          austral
autant           aut
autel            autel
autels           autel
auteur           auteur
auteurs          auteur
authenticité         authent
auto             auto
automate         automat
automatique        automat
automne          automn
autorisait         autoris
autorisation         autoris
autorisations        autoris
autorise         autoris
autorisé         autoris
autorisée        autoris
autorisent         autorisent
autorisera         autoris
autoriserait         autoris
autorité         autor
autorités        autor
autour           autour
autre            autr
autrefois        autrefois
autrement        autr
autres           autr
autriche         autrich
autrichien         autrichien
